review_count,max_freq,initial_trust,trust_tag
2,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
0,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
56,1,1,Posts a good number of reviews at a reasonable pace
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
1,1,0.5,No standout reviewer features
