product_id,evaldate,eval_freq
1000002161653,1.0,1
1000002161653,2.0,5
1000002161653,3.0,4
1000002161653,4.0,3
1000002161653,5.0,3
1000002161653,6.0,6
1000002161653,7.0,2
1000002161653,8.0,5
1000002161653,9.0,3
1000002161653,10.0,6
1000002161653,11.0,4
1000002161653,12.0,4
1000002161653,13.0,8
1000002161653,14.0,4
1000002161653,15.0,3
1000002161653,16.0,5
1000002161653,17.0,3
1000002161653,18.0,4
1000002161653,19.0,4
1000002161653,20.0,8
1000002161653,21.0,5
1000002161653,22.0,4
1000002161653,23.0,6
1000002161653,24.0,4
1000002161653,25.0,7
1000002161653,26.0,6
1000002161653,27.0,9
1000002161653,28.0,6
1000002161653,29.0,2
1000002161653,30.0,3
1000002161653,31.0,3
1000004340495,4.0,2
1000004340495,6.0,1
1000004340495,10.0,1
1000004340495,13.0,3
1000004340495,17.0,1
1000004340495,20.0,1
1000004340495,23.0,1
1000004340495,25.0,1
1000004340495,27.0,2
1000004340495,31.0,1
1000004507679,11.0,1
1000004507679,16.0,1
1000004507679,23.0,1
1000004507679,26.0,2
1000004527670,12.0,1
1000004527670,20.0,1
1000004527670,23.0,2
1000005062011,1.0,1
1000005062011,4.0,2
1000005062011,5.0,1
1000005062011,10.0,4
1000005062011,11.0,2
1000005062011,12.0,3
1000005062011,13.0,9
1000005062011,14.0,2
1000005062011,15.0,1
1000005062011,16.0,2
1000005062011,17.0,2
1000005062011,18.0,2
1000005062011,19.0,4
1000005062011,21.0,3
1000005062011,24.0,2
1000005062011,25.0,2
1000005062011,26.0,2
1000005062011,27.0,4
1000005062011,28.0,1
1000005062011,29.0,2
1000005062011,30.0,7
1000005062011,31.0,2
1000005226391,1.0,4
1000005226391,2.0,1
1000005226391,3.0,5
1000005226391,4.0,6
1000005226391,5.0,2
1000005226391,6.0,5
1000005226391,7.0,1
1000005226391,8.0,4
1000005226391,9.0,5
1000005226391,10.0,7
1000005226391,11.0,9
1000005226391,12.0,7
1000005226391,13.0,3
1000005226391,14.0,7
1000005226391,15.0,4
1000005226391,16.0,2
1000005226391,17.0,9
1000005226391,18.0,5
1000005226391,19.0,5
1000005226391,21.0,3
1000005226391,22.0,3
1000005226391,23.0,4
1000005226391,24.0,4
1000005226391,25.0,6
1000005226391,26.0,5
1000005226391,27.0,6
1000005226391,28.0,2
1000005226391,29.0,4
1000005226391,30.0,9
1000005226391,31.0,3
1000005572748,1.0,3
1000005572748,2.0,2
1000005572748,3.0,4
1000005572748,4.0,4
1000005572748,5.0,1
1000005572748,6.0,5
1000005572748,7.0,5
1000005572748,8.0,2
1000005572748,9.0,2
1000005572748,10.0,2
1000005572748,11.0,2
1000005572748,13.0,12
1000005572748,14.0,12
1000005572748,15.0,21
1000005572748,16.0,18
1000005572748,17.0,5
1000005572748,18.0,3
1000005572748,19.0,2
1000005572748,20.0,5
1000005572748,21.0,4
1000005572748,22.0,2
1000005572748,23.0,5
1000005572748,24.0,1
1000005572748,25.0,1
1000005572748,26.0,1
1000005572748,27.0,2
1000005572748,28.0,1
1000005572748,29.0,3
1000005572748,30.0,5
1000005572748,31.0,5
1000005737120,1.0,3
1000005737120,2.0,1
1000005737120,3.0,3
1000005737120,5.0,1
1000005737120,6.0,1
1000005737120,7.0,1
1000005737120,8.0,4
1000005737120,10.0,3
1000005737120,12.0,1
1000005737120,13.0,1
1000005737120,14.0,3
1000005737120,15.0,7
1000005737120,16.0,10
1000005737120,17.0,10
1000005737120,18.0,1
1000005737120,19.0,1
1000005737120,20.0,3
1000005737120,21.0,2
1000005737120,22.0,3
1000005737120,23.0,3
1000005737120,24.0,2
1000005737120,25.0,1
1000005737120,26.0,3
1000005737120,27.0,5
1000005737120,28.0,1
1000005737120,29.0,1
1000005737120,30.0,1
1000005737120,31.0,4
1007859333,2.0,2
1007859333,3.0,1
1007859333,4.0,1
1007859333,6.0,1
1007859333,11.0,2
1007859333,26.0,1
1007859333,29.0,1
1007859333,30.0,1
1082836270,1.0,3
1082836270,2.0,4
1082836270,3.0,5
1082836270,4.0,5
1082836270,5.0,4
1082836270,6.0,7
1082836270,7.0,6
1082836270,8.0,7
1082836270,9.0,4
1082836270,10.0,12
1082836270,11.0,7
1082836270,12.0,3
1082836270,13.0,11
1082836270,14.0,6
1082836270,15.0,4
1082836270,16.0,9
1082836270,17.0,8
1082836270,18.0,9
1082836270,19.0,6
1082836270,20.0,8
1082836270,21.0,6
1082836270,23.0,6
1082836270,24.0,2
1082836270,25.0,10
1082836270,26.0,5
1082836270,27.0,2
1082836270,28.0,8
1082836270,29.0,4
1082836270,30.0,4
1082836270,31.0,5
1101450963,2.0,2
1101450963,3.0,1
1101450963,4.0,3
1101450963,6.0,1
1101450963,7.0,1
1101450963,10.0,1
1101450963,11.0,1
1101450963,13.0,1
1101450963,14.0,4
1101450963,20.0,1
1101450963,23.0,1
1116660691,1.0,3
1116660691,2.0,7
1116660691,3.0,6
1116660691,4.0,6
1116660691,5.0,3
1116660691,6.0,4
1116660691,7.0,1
1116660691,8.0,7
1116660691,9.0,7
1116660691,10.0,5
1116660691,11.0,10
1116660691,12.0,4
1116660691,13.0,7
1116660691,14.0,4
1116660691,15.0,7
1116660691,16.0,4
1116660691,17.0,2
1116660691,18.0,3
1116660691,19.0,2
1116660691,20.0,4
1116660691,21.0,8
1116660691,22.0,5
1116660691,23.0,9
1116660691,24.0,17
1116660691,25.0,8
1116660691,26.0,7
1116660691,27.0,4
1116660691,28.0,11
1116660691,29.0,3
1116660691,30.0,10
1116660691,31.0,2
1153994029,1.0,3
1153994029,2.0,3
1153994029,3.0,5
1153994029,4.0,9
1153994029,5.0,1
1153994029,6.0,8
1153994029,7.0,3
1153994029,8.0,7
1153994029,9.0,2
1153994029,10.0,11
1153994029,11.0,8
1153994029,12.0,5
1153994029,13.0,6
1153994029,14.0,9
1153994029,15.0,5
1153994029,16.0,8
1153994029,17.0,4
1153994029,18.0,9
1153994029,19.0,3
1153994029,20.0,11
1153994029,21.0,6
1153994029,22.0,2
1153994029,23.0,11
1153994029,24.0,7
1153994029,25.0,8
1153994029,26.0,4
1153994029,27.0,4
1153994029,28.0,8
1153994029,29.0,3
1153994029,30.0,2
1153994029,31.0,5
1162031649,1.0,3
1162031649,2.0,4
1162031649,3.0,3
1162031649,4.0,4
1162031649,5.0,5
1162031649,6.0,7
1162031649,7.0,2
1162031649,9.0,3
1162031649,10.0,10
1162031649,11.0,4
1162031649,12.0,7
1162031649,13.0,8
1162031649,14.0,7
1162031649,15.0,13
1162031649,16.0,9
1162031649,17.0,4
1162031649,18.0,4
1162031649,19.0,1
1162031649,20.0,2
1162031649,21.0,6
1162031649,22.0,2
1162031649,23.0,5
1162031649,24.0,3
1162031649,25.0,5
1162031649,26.0,5
1162031649,27.0,4
1162031649,28.0,2
1162031649,29.0,3
1162031649,30.0,3
1162031649,31.0,2
1179859043,1.0,1
1179859043,2.0,3
1179859043,3.0,1
1179859043,5.0,2
1179859043,6.0,1
1179859043,7.0,1
1179859043,10.0,2
1179859043,11.0,3
1179859043,12.0,1
1179859043,14.0,1
1179859043,15.0,1
1179859043,17.0,3
1179859043,18.0,1
1179859043,19.0,2
1179859043,20.0,2
1179859043,21.0,1
1179859043,22.0,1
1179859043,23.0,1
1179859043,24.0,3
1179859043,26.0,2
1179859043,27.0,2
1179859043,28.0,2
1179859043,29.0,2
1179859043,31.0,1
1249901173,1.0,4
1249901173,2.0,1
1249901173,3.0,10
1249901173,4.0,9
1249901173,5.0,3
1249901173,6.0,2
1249901173,7.0,6
1249901173,8.0,2
1249901173,9.0,3
1249901173,10.0,5
1249901173,11.0,3
1249901173,12.0,8
1249901173,13.0,9
1249901173,14.0,2
1249901173,15.0,8
1249901173,16.0,13
1249901173,17.0,4
1249901173,18.0,6
1249901173,19.0,5
1249901173,20.0,7
1249901173,21.0,5
1249901173,22.0,5
1249901173,23.0,3
1249901173,24.0,2
1249901173,25.0,2
1249901173,26.0,5
1249901173,27.0,10
1249901173,28.0,5
1249901173,29.0,2
1249901173,30.0,7
1249901173,31.0,4
1253286733,1.0,3
1253286733,2.0,7
1253286733,3.0,3
1253286733,4.0,6
1253286733,5.0,6
1253286733,6.0,6
1253286733,7.0,2
1253286733,8.0,4
1253286733,9.0,1
1253286733,10.0,4
1253286733,11.0,5
1253286733,12.0,7
1253286733,13.0,1
1253286733,14.0,5
1253286733,15.0,8
1253286733,16.0,5
1253286733,17.0,1
1253286733,18.0,3
1253286733,19.0,1
1253286733,20.0,4
1253286733,21.0,3
1253286733,22.0,3
1253286733,23.0,6
1253286733,24.0,2
1253286733,25.0,1
1253286733,26.0,3
1253286733,27.0,5
1253286733,28.0,3
1253286733,29.0,5
1253286733,30.0,4
1253286733,31.0,3
1283572161,1.0,1
1283572161,2.0,1
1283572161,4.0,1
1283572161,5.0,3
1283572161,6.0,1
1283572161,7.0,1
1283572161,9.0,1
1283572161,10.0,2
1283572161,12.0,1
1283572161,13.0,1
1283572161,14.0,2
1283572161,15.0,3
1283572161,17.0,1
1283572161,18.0,2
1283572161,19.0,3
1283572161,23.0,2
1283572161,24.0,1
1283572161,25.0,1
1283572161,26.0,2
1283572161,27.0,2
1283572161,28.0,1
1283572161,29.0,3
1283572161,30.0,3
1283572161,31.0,1
1326108747,1.0,1
1326108747,2.0,2
1326108747,4.0,3
1326108747,6.0,2
1326108747,7.0,6
1326108747,8.0,5
1326108747,9.0,2
1326108747,10.0,3
1326108747,11.0,6
1326108747,12.0,7
1326108747,13.0,2
1326108747,14.0,2
1326108747,15.0,3
1326108747,16.0,1
1326108747,18.0,1
1326108747,19.0,1
1326108747,20.0,3
1326108747,21.0,4
1326108747,23.0,3
1326108747,24.0,1
1326108747,25.0,5
1326108747,26.0,5
1326108747,27.0,1
1326108747,28.0,3
1326108747,29.0,4
1326108747,30.0,2
1326108747,31.0,2
1372610209,1.0,1
1372610209,2.0,1
1372610209,5.0,4
1372610209,6.0,3
1372610209,7.0,1
1372610209,8.0,1
1372610209,10.0,1
1372610209,11.0,1
1372610209,12.0,1
1372610209,13.0,2
1372610209,16.0,2
1372610209,17.0,2
1372610209,18.0,2
